_id,username,userLocation,tweet,location
ObjectID(5742b076a1503718e7dd9b41),"oh_daye","Kapolei, HI"," beingablackgirlmeans hearing people say they got ""too black"" like it's a bad thing and feeling ugly",
ObjectID(5742b085a1503718e7dd9b42),"AgendaOfEvil","Mecca"," URL dr. walid phares: jihad in europe -- implications for european and american security",
ObjectID(5742b089a1503718e7dd9b43),"manuckm24_m",," AT_USER heartening to see islamic apologists are on the run. let this be the beginning of the end of jihad filth",
ObjectID(5742b093a1503718e7dd9b44),"yojudenz","New Zealand  paper.li/JUDENZ "," texas governor defies obama, orders new sanctions on iran - counter jihad URL",
ObjectID(5742b108a1503718e7dd9b45),"being_delhite","Dil in Delhi, Dard in Chennai"," muslim terrorist pigs martyred 3 brave indian policemen at srinagar. srinagarterrorattackss URL",
ObjectID(5742b137a1503718e7dd9b46),"lancastrian14",," AT_USER islam treats jews as equal? banu qurayza wher muhammad slaughtered 800 jewish prisoners URL",
ObjectID(5742b1fba1503718e7dd9b47),"McGMaryland","Maryland"," pope francis’ jihad on christianity URL mcgspirit URL",
ObjectID(5742b20aa1503718e7dd9b48),"dennisek4","New Mexico, USA"," kosovo, the new jihad state in the heart of europe URL",
ObjectID(5742b23ea1503718e7dd9b49),"nc4everblessed","Upscale paintings 4 charities"," we have to make our own destiny sometimes; take the bullshit by the horns & cast the devils out. AT_USER URL",
ObjectID(5742b248a1503718e7dd9b4a),"khalidrafiq138","Pakistan"," islamabad sees jihad as low-cost option to bleed india, says former pak envoy to us URL",
ObjectID(5742b288a1503718e7dd9b4b),"TrumpSweep","All Across American"," bypass the msm and get on thewall URL URL",
ObjectID(5742b28ca1503718e7dd9b4c),"TrumpSweep","All Across American"," bypass the msm and get on thewall URL URL",
ObjectID(5742b2aca1503718e7dd9b4d),"Princessof__","West HollyWood"," AT_USER nobody gon want my ass , i'm black with ugly feet and don't like chicken",
ObjectID(5742b2b2a1503718e7dd9b4e),"SR422","PAKISTAN"," aajkal ki dor main emandaar hona bhi eik jihad hai, but certianly allah has a great reward for honest people. URL",
ObjectID(5742b30da1503718e7dd9b4f),"Truth_of_HELL","Everywhere"," terror nation URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi yemen afganistan",
ObjectID(5742b345a1503718e7dd9b50),"AlabedJihad","ابوظبي"," hang out with jihad and other fun new people nearby, when you sign in to badoo! URL",
ObjectID(5742b380a1503718e7dd9b51),"LCPalestine",," fine, but wipe out kiryas joel-monroe, new york, too. obsessed jews have overrun the town. many are on welfare. URL",
ObjectID(5742b382a1503718e7dd9b52),"Love_Bree__","IG: Love_Bree__   "," nah you're twisting my words. lol nothing is like a fine black man . the features cannot be compared i'm js 😁 URL",
ObjectID(5742b392a1503718e7dd9b53),"wuhokay",," another 45 dead. yemen jihad bombers attack military recruitment center. URL auspol",
ObjectID(5742b3e4a1503718e7dd9b54),"omegafrequency",," new post: ""isis calls for “month of conquest and jihad” against europe, america"" URL",
ObjectID(5742b43fa1503718e7dd9b55),"911USA1","USA"," politicians afraid of our veterans? URL rt stopislam tcot ccot makedclisten teaparty conservatives",
ObjectID(5742b440a1503718e7dd9b56),"CatholicsTweet","Roman Catholic World!"," the gulen movement as an engine for civlization jihad. learn more. URL AT_USER gjm URL",
ObjectID(5742b440a1503718e7dd9b57),"RetireTheLeft","USA"," bibi wins...obama loses! rt URL stopislam AT_USER makedclisten crusades wakeupamerica AT_USER",
ObjectID(5742b499a1503718e7dd9b58),"Muchanzy","Sweden"," jihad",
ObjectID(5742b4dca1503718e7dd9b59),"majidkamel30",," iran sends afghan refugees off to jihad in syria URL via AT_USER",
ObjectID(5742b4eba1503718e7dd9b5a),"Siren6779",," band in paris jihad attacks gets gigs canceled for noting muslims celebrated attacks URL terrorism",
ObjectID(5742b4fea1503718e7dd9b5b),"Miligor25","Provence"," kosovo, the new jihad state in the heart of europe | pamela geller URL via AT_USER",
ObjectID(5742b52ea1503718e7dd9b5c),"IndiaNowNews",," see video! love jihad in india exposed by ibn7... URL URL",
ObjectID(5742b537a1503718e7dd9b5d),"STEMROB7",," republican congress get on the trumptrain and join URL URL",
ObjectID(5742b55ba1503718e7dd9b5e),"TFBSocial","South Africa"," niggas playing x's and o's on the ashy legs, lmaoooo! URL",
ObjectID(5742b567a1503718e7dd9b5f),"eshaLegal","I stand with Ali Nimr"," AT_USER AT_USER AT_USER AT_USER lovejihad this is the one kind of jihad i fully support! so sweet!",
ObjectID(5742b5a5a1503718e7dd9b60),"bidmarvelousof2",," new sealed (ugly) box remanufactured hp 305a ce410a black toner laserjet m351 URL URL",
ObjectID(5742b64ca1503718e7dd9b61),"kbenweg",," liberal teacher takes in muslim refugee, his colleague finds what’s left of him! stopislam stopmuslims jesussaves URL",
ObjectID(5742b668a1503718e7dd9b62),"zanonkosi_","Johannesburg, South Africa"," i've never seen this much mbash ever URL",
ObjectID(5742b6a1a1503718e7dd9b63),"XtremeMerch","Instagram: XtremeMerch "," ts jihad - cover album | size s xxl | rp. 125.000,- | wa: 081 310 877 341 / line @ xtrememerch URL",
ObjectID(5742b6dda1503718e7dd9b64),"SolomonStraight","Bedford, OH"," my thick lips, long forehead and wide nose is the reason i'm ugly? i thought we shared the same trait. pot can't call the skillet black.",
ObjectID(5742b6f9a1503718e7dd9b65),"SageGohar123",," isis taliban bokoharam alshabab islamicstate isil is the true history of arabs islam & jihad URL",
ObjectID(5742b70da1503718e7dd9b66),"PerennialCold",," AT_USER i dont trust jihad naxal sympathiser kasturis. source based stories piss me off anyways",
ObjectID(5742b70fa1503718e7dd9b67),"dennisek4","New Mexico, USA"," isis urges attacks on west during ramadan, &8220;the month of conquest and jihad&8221; URL",
ObjectID(5742b71ea1503718e7dd9b68),"Musab_Er",," the first world war - jihad 1914 to 1916 URL",
ObjectID(5742b764a1503718e7dd9b69),"steve1211","England"," kosovo, the new jihad state in the heart of europe URL",
ObjectID(5742b7c2a1503718e7dd9b6a),"klaraea","worldwide"," URL ""we are at war with islam!! any devout muslim wishing to become a jihadi terrorist for allah…"" — marisol enrique",
ObjectID(5742b7e5a1503718e7dd9b6b),"ShieldLive","Wien"," “the prophet muhammad says that if s o has a chance to take part in jihad and doesn’t, he will die with great sins.” URL",
ObjectID(5742b7efa1503718e7dd9b6c),"Conscores","USA"," just the same old 'stay the course' nonsense. rt URL AT_USER stopislam tcot makedclisten URL",
ObjectID(5742b7f1a1503718e7dd9b6d),"RetireTheLeft","USA"," obama's hatred of jesus christ is affecting his ability to be commander in chief! rt URL stopislam tcot makedclisten",
ObjectID(5742b7f9a1503718e7dd9b6e),"etabori",," kosovo, the new jihad state in the heart of europe URL …",
ObjectID(5742b7fba1503718e7dd9b6f),"VishalS55897262","new delhi india"," killing of innocent police man's known as jihad doob maro jihadi jaanvaro",
ObjectID(5742b81aa1503718e7dd9b70),"RtmTweets","Oz"," how bigoted!! (and also, how true) URL",
ObjectID(5742b828a1503718e7dd9b71),"Posts_from_Asia","Entire Asia"," never forgive a terrorist! URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi",
ObjectID(5742b849a1503718e7dd9b72),"_GlizzyBoyJay",," you wannabe my race so bad you will never be black. URL",
ObjectID(5742b85ca1503718e7dd9b73),"VishalS55897262","new delhi india"," in starting on the name of jihad they kill village pradhan now they kill innocent police man for jihad",
ObjectID(5742b88ea1503718e7dd9b74),"Conservatexian","Florida, USA"," media and the jihad URL URL",
ObjectID(5742b8a3a1503718e7dd9b75),"FPPTim","South Carolina"," barack hussein obama accelerates his ’emasculation jihad’ on the u.s. military URL",
ObjectID(5742b8b9a1503718e7dd9b76),"billg1963",," the captain of flight ms804 is a muslim linked to major muslim terrorist involved in killing americans in benghazi URL",
ObjectID(5742b8c3a1503718e7dd9b77),"JackassJihadi","India"," after america refused to sell f-16s to pakistan,they manufactured their own 😂 makeamericagreatagain stopislam URL",
ObjectID(5742b965a1503718e7dd9b78),"truclear",," URL … 2,000 mosques jihad indoc",
ObjectID(5742b967a1503718e7dd9b79),"Jesmilia","Classified"," marquiladora international factory in mexico is controlled by muslim brotherhood terrorist org. that killing girls/women. AT_USER",
