_id,username,sentiment,tweet,userLocation,location
ObjectID(572c63f5a1503710d1ce4ef3),"iCumBl00d","neutral"," AT_USER have a good day mittens, you faggot",,
ObjectID(572c640ca1503710d1ce4ef4),"Bastardo_Verde","neg"," why is will a whiny strawman invoking faggot? AT_USER AT_USER AT_USER","守る(^ー^)⛧ϟ✨(◕‿◕✿)☆✧(≖ ◡ ≖✿)",
ObjectID(572c6420a1503710d1ce4ef5),"Literatureview","neutral"," book review: mahatma gandhi's killing was an act of love jihad - the indian express URL","Canada, Moncton ",
ObjectID(572c6474a1503710d1ce4ef6),"asuka_ebooks","neg"," mama you faggot why are you a bitch",,
ObjectID(572c6479a1503710d1ce4ef7),"Ishitonallah","neutral"," ""allah is the best of the deceivers"" deceitful muslim ""forgets"" half the tweet: URL URL",,
ObjectID(572c649da1503710d1ce4ef8),"AgendaOfEvil","neutral"," URL uganda jihad attack updates",,
ObjectID(572c64b9a1503710d1ce4ef9),"Ishitonallah","neutral"," AT_USER good job on showing yet again why muslims can't be trusted! stopislam islamistheproblem",,
ObjectID(572c64c4a1503710d1ce4efa),"Farrell_E_37","neg"," when terrorist sympathisers go basically unchallenged you know that islam really is the root of the problem. URL","Dublin City, Ireland",
ObjectID(572c64d3a1503710d1ce4efb),"AV_Crunchi3","neg"," AT_USER my recent tweet you faggot","Dubai, United Arab Emirates",
ObjectID(572c64d9a1503710d1ce4efc),"Iscocentro","neg"," AT_USER my god.... dumbass, i'm calling you a faggot.","Shimla ",
ObjectID(572c64e1a1503710d1ce4efd),"kmichealm","neg"," khan isn't fit to be the mayor of my city & as such won't get my vote ever !! no muslim terrorist supporter as mayor URL","City of London, London",
ObjectID(572c64e2a1503710d1ce4efe),"iori0213","neutral"," jihad dog (vine by xscourgetailsx) URL","地獄",
ObjectID(572c64faa1503710d1ce4eff),"Homophobe_Bot","neg"," faggot",,
ObjectID(572c6506a1503710d1ce4f00),"Patriotic_guyyy","neg"," AT_USER AT_USER AT_USER if 1%of what you said about muslims is true ,there will not b a single muslim terrorist in thswold","India",
ObjectID(572c6511a1503710d1ce4f01),"zal_lewis","neg"," AT_USER because faggot that may be the last time anybody ever see's you sucking up pornooxygen! if this is lorraine ann latta's account",,
ObjectID(572c6528a1503710d1ce4f02),"Dewclaws_ebooks","neg"," fuccking get rekt faggot 420 mlgskills dakotabot",,
ObjectID(572c6532a1503710d1ce4f03),"g00sifur","neg"," what're you gay faggot?","w rach",
ObjectID(572c6546a1503710d1ce4f04),"zeeshan_israr","neutral"," AT_USER AT_USER agar inhe jihad karna hai to pehle khud ko suicide bomb se udana chahiye. set the example by blowing oneself","Doha, Qatar",
ObjectID(572c655ea1503710d1ce4f05),"yout4life","neg"," cause i like being could a fag dyke fat cutter emo fat mistake failure waste of space. and told to kms and don't be surprised if i do.","HELL",
ObjectID(572c65a7a1503710d1ce4f06),"grigorov_fobi","neutral"," real dyke giving oral pleasure to brunette lesbian URL",,
ObjectID(572c65caa1503710d1ce4f07),"Gill_Merman","pos"," AT_USER should be obligatory in mosque build app, renounce jihad, +stand by right of free expression auspol URL","Australia",
ObjectID(572c65e2a1503710d1ce4f08),"sherkhan1924","neutral"," the best jihad is raising the word of truth against a tyrant ruler. freenaveedbut",,
ObjectID(572c65f1a1503710d1ce4f09),"LRenjo","neg"," want be prostitute go geylang stand lah i think old uncle kua also dw u lah fuck off lah annoying faggot",,
ObjectID(572c65f2a1503710d1ce4f0a),"VertigoCultist","neg"," AT_USER go back to isis you fucking subhuman piece of garbage. america doesn't bow to terrorism. burn in hell you godless faggot.","Planet Earth",
ObjectID(572c65faa1503710d1ce4f0b),"Conscores","neutral"," the truth behind the baltimore lies! rt URL stopislam AT_USER tcot makedclisten wakeupamerica","USA",
ObjectID(572c65faa1503710d1ce4f0c),"JediWarrior1409","neutral"," the basics of islam 4: robert spencer on the violent verses in the qur'an bluehand stopislam islamisevil isislam URL","Location - Sector 7 ",
ObjectID(572c6602a1503710d1ce4f0d),"Cool_Beanzzzz","neg"," AT_USER jimmy immy mmy my y yo you you're you're a you're a faggot",,
ObjectID(572c661ea1503710d1ce4f0e),"Truth_of_HELL","neutral"," true history URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi yemen afganistan","Everywhere",
ObjectID(572c662ca1503710d1ce4f0f),"bakane_eblokes","neg"," i am a chef. so i'm good with knives. fucking fight me faggot.","In your warm embrace",
ObjectID(572c662ea1503710d1ce4f10),"Bottom_Boy69","neg"," URL wood morning gay twitter👨‍❤️‍💋‍👨 tgif thank god i'm a faggot👨‍❤️‍💋‍👨 faggotfood👨‍❤️‍💋‍👨","Faggot City USA ",
